order_date,item_name,quantity,unit,category,notes
2026-04-16,Nature's Fresh English Muffin Splits,1.0,pack,"Bagels, Crumpets & Pancakes",6pk
2026-04-16,Pams Dark Cooking Chocolate,1.0,pack,Baking Supplies & Sugar,200g
2026-04-16,Hellers Craft Angus Beef Sausages,1.0,pack,Beef,6pk
2026-04-16,Hellers Beef Mince,3.0,pack,Beef,380g
2026-04-16,Real Foods Corn Thins Sour Cream & Chives,1.0,pack,Biscuits & Crackers,125g
2026-04-16,Peckish Cheddar Cheese Flavoured Rice Crackers,1.0,pack,Biscuits & Crackers,90g
2026-04-16,Peckish Barbecue Flavoured Rice Crackers,1.0,pack,Biscuits & Crackers,90g
2026-04-16,Arnott's Tim Tam Original Chocolate Biscuits,1.0,pack,Biscuits & Crackers,200g
2026-04-16,Trident Premium Coconut Milk,1.0,pack,Canned Foods & Packets,400ml
2026-04-16,Pams Free Range Boneless Skinless Chicken Thighs,2.0,pack,Chicken & Poultry,400g
2026-04-16,Tegel Free Range Oven Ready Sage & Onion Roast Fresh Chicken,1.0,pack,Chicken & Poultry,1.5kg
2026-04-16,Pams Free Range Boneless Skinless Chicken Breast,2.0,pack,Chicken & Poultry,400g
2026-04-16,Act II Butter Flavour Microwave Popcorn,2.0,pack,"Chips, Nuts & Snacks",85g
2026-04-16,Mother Earth Roasted & Lightly Salted Cashews,1.0,pack,"Chips, Nuts & Snacks",150g
2026-04-16,Tasti Salted Caramel Nut Bar,1.0,pack,"Chips, Nuts & Snacks",6 x 35g
2026-04-16,Hellers Mild Biersticks,1.0,pack,Deli Meats & Smoked Fish,168g
2026-04-16,Beehive Shaved Champagne Ham,2.0,pack,Deli Meats & Smoked Fish,100g
2026-04-16,Woodland Free Range Grade 8 Eggs,1.0,pack,Eggs,10pk
2026-04-16,Bananas,8.0,kg,Fruit,
2026-04-16,Primor Prepacked Avocados,1.0,pack,Fruit,1kg
2026-04-16,NZ Strawberries,2.0,pack,Fruit,250g
2026-04-16,Yummy Fruit Royal Gala Apples,1.0,pack,Fruit,1.5kg
2026-04-16,Round Cheese Rolls,1.0,pack,In-Store Bakery,6pk
2026-04-16,Boring No Added Sugar Oat Milk,2.0,pack,Long Life & Dairy Free Milk,1l
2026-04-16,Pams Value Standard Milk,1.0,pack,Milk,2l
2026-04-16,Indomie Mi Goreng Barbeque Chicken Instant Cup Noodles,4.0,pack,"Pasta, Rice & Noodles",75g
2026-04-16,High Mark Round Cut Egg Noodles,1.0,pack,"Pasta, Rice & Noodles",280g
2026-04-16,Pork Sirloin Steak,600.0,g,Pork & Ham,kg
2026-04-16,Freya's Swiss Soya Linseed Bread,2.0,pack,Sliced & Packaged Bread,750g
2026-04-16,Telegraph Cucumber,2.0,each,Vegetables,
2026-04-16,Pams Fresh Cherry Tomatoes,2.0,pack,Vegetables,250g
2026-04-16,Pams Baby Spinach,2.0,pack,Vegetables,120g
2026-04-16,Red Capsicum,3.0,each,Vegetables,
2026-04-16,Loose Red Onions,1.0,kg,Vegetables,
2026-04-16,Broccoli,2.0,each,Vegetables,
2026-04-16,Cauliflower,1.0,each,Vegetables,
2026-04-16,White Button Mushrooms,10.0,kg,Vegetables,
2026-04-16,Pams Brushed Agria Potatoes,1.0,pack,Vegetables,3kg
2026-04-16,Red Kumara,1.0,pack,Vegetables,900g
2026-04-16,Farrah's Kids White Snack Wraps,1.0,pack,"Wraps, Pita & Flat Bread",8pk
2026-04-16,Pams White Round Pita Bread,1.0,pack,"Wraps, Pita & Flat Bread",8 x 43.8g
2026-04-16,Moogurt Suckies Vanilla Custard Probiotic Yoghurt Pouch,1.0,pack,Yoghurt,5 x 70g
2026-04-16,Anchor Uno Smooth Mixed Berry Yoghurt,1.0,pack,Yoghurt,12 x 100g
2026-04-16,Meadow Fresh Kalo Natural Greek Yoghurt,1.0,pack,Yoghurt,800g
